Site,Samples,RMSE,MAE,MAPE (%),R2
994,488,0.102379,0.083576,89.9698,0.807656
4527,488,0.102385,0.085469,41.2363,0.78362
5851,488,0.102395,0.078167,117.95,0.806566
6074,488,0.10243,0.087471,325.611,0.818003
610,488,0.102438,0.080882,115.4997,0.814083
4359,488,0.102443,0.08443,184.4676,0.817513
4732,488,0.102451,0.089618,149.935,0.802702
2268,488,0.102453,0.079671,224.9935,0.825897
2605,488,0.102471,0.089383,41.2263,0.783931
6652,488,0.102491,0.089527,110.3799,0.824971
2052,488,0.102501,0.082493,126.7231,0.816599
5119,488,0.102507,0.085347,98.6748,0.821825
4325,488,0.10251,0.084748,152.0009,0.818134
5012,488,0.102512,0.08027,256.6684,0.670004
4541,488,0.102606,0.083927,61.653,0.806876
449,488,0.102608,0.081777,242.2697,0.829841
4543,488,0.10261,0.082552,58.5407,0.805407
